trial,side,peak_knee_flexion_deg,peak_trunk_y_deg,time_to_stabilization_s,lumbar_orientation_variability_deg,corrective_peak_count,largest_corrective_peak_dps,trunk_pelvis_lag_s
Novice,Left,89.89482278291894,6.786468908576575,4.403699647704028,2.240392185952966,0,12.291933742388142,-1.9979998401600128
Novice,Left,96.53792945389054,10.228010035811165,5.975099521992038,2.864873620623137,0,16.086958492762623,-1.9979998401600128
Novice,Left,88.38913609847374,11.021277959265829,0.0,2.104805686321397,1,20.9333234782158,1.9979998401600128
Novice,Right,104.01052433643999,-2.947983905479137,0.5480999561520035,1.3071727887527735,0,20.09225565757575,1.430999885520009
Novice,Right,115.45316699495663,-0.5081114105460351,7.460099403192047,1.7413228080622398,0,15.252986728916927,-1.9979998401600128
Trained,Left,88.30030346725397,4.726484643759762,0.0,0.5016571118730604,0,11.916970183812069,1.9979998401600128
Trained,Left,99.30801280448082,5.429165615315801,6.385499489160041,1.8699071169028851,0,16.88955703558174,1.9979998401600128
Trained,Left,83.91668167379213,4.898109967103674,0.0,2.549579114045401,0,16.465569878999037,1.9979998401600128
Trained,Right,83.58152219701036,-5.7706220037917735,0.0,0.2732954899461808,0,9.101114013729282,-0.9665999226720061
Trained,Right,85.3930172275149,-6.783960240174419,5.578199553744035,3.641020029085955,0,34.3713918304717,-1.9979998401600128
Trained,Right,68.92889835442023,-5.8921692233613765,0.0,2.553678199256825,1,20.628559019506962,1.417499886600009
